p1	9378	10
p2	8754	9
p3	10284	10
p4	11484	9
p5	9793	11
p6	8595	11
p7	10565	11
p8	11660	10
p9	10493	12
p10	8374	15
p11	9028	16
p12	11249	13
p13	8962	12
p14	8163	12
p15	10116	11
p16	11998	13
p17	9250	12
p18	8099	12
p19	10014	11
p20	11517	12
p21	9257	14
p22	8106	16
p23	10320	15
p24	11402	14
p25	18408	42
p26	14383	39
p27	13498	36
p28	14692	40
p29	13819	33
p30	17641	32
p31	14336	34
p32	18616	34
p33	15107	46
p34	11373	47
p35	17764	45
p36	18617	46
p37	13133	82
p38	12316	54
p39	15356	83
p40	15288	80
p41	7330	20
p42	6505	18
p43	6211	15
p44	7790	14
p45	7530	16
p46	6709	15
p47	7149	16
p48	6267	15
p49	7224	17
p50	10318	16
p51	8194	20
p52	12429	16
p53	16202	15
p54	10196	17
p55	10194	17
p56	23963	55
p57	29347	61
p58	40955	58
p59	30690	59
p60	24689	55
p61	29046	54
p62	36062	55
p63	31836	54
p64	27524	91
p65	31079	91
p66	37223	83
p67	30148	57
p68	23354	63
p69	29106	61
p70	36521	61
p71	27789	57
