p1	9105	1
p2	8551	1
p3	9961	1
p4	11399	1
p5	9278	1
p6	8317	1
p7	9938	1
p8	11538	1
p9	9122	1
p10	8480	1
p11	9509	1
p12	10750	2
p13	8507	2
p14	7421	2
p15	9107	1
p16	10779	2
p17	8351	1
p18	7456	2
p19	9037	1
p20	10875	2
p21	8778	1
p22	8306	2
p23	9453	1
p24	11017	2
p25	13476	4
p26	13200	5
p27	14501	6
p28	15964	5
p29	15238	5
p30	13636	5
p31	15715	6
p32	17616	5
p33	13167	5
p34	12231	5
p35	13449	5
p36	15856	6
p37	14166	4
p38	13797	4
p39	14736	4
p40	16335	4
p41	7243	1
p42	6236	2
p43	5906	3
p44	8095	1
p45	6771	3
p46	6171	2
p47	7646	2
p48	6524	2
p49	6128	2
p50	10258	2
p51	8457	2
p52	11810	2
p53	10787	2
p54	10305	2
p55	8586	2
p56	22665	9
p57	28433	9
p58	39841	9
p59	29694	9
p60	24533	7
p61	28241	7
p62	36170	8
p63	27764	8
p64	25938	6
p65	28598	6
p66	35160	6
p67	27858	7
p68	24741	8
p69	28190	7
p70	35816	7
p71	28085	8
